participant,language,test,trial,answer,expected,correct,correct_word,correct_word_trans_prob
1,1,1,1,1,1,1,FCF#,0.5
1,1,1,2,2,2,1,D#ED,0.75
1,1,1,3,2,1,0,ADB,0.43099109562524196
1,1,1,4,1,2,0,ADB,0.43099109562524196
1,1,1,5,1,1,1,ADB,0.43099109562524196
1,1,1,6,2,2,1,DFE,0.4259581881533101
1,1,1,7,2,2,1,CC#D,0.75
1,1,1,8,2,1,0,DFE,0.4259581881533101
1,1,1,9,1,2,0,D#ED,0.75
1,1,1,10,1,1,1,FCF#,0.5
1,1,1,11,1,2,0,D#ED,0.75
1,1,1,12,1,1,1,FCF#,0.5
1,1,1,13,2,2,1,D#ED,0.75
1,1,1,14,1,1,1,GG#A,1.0
1,1,1,15,2,2,1,FCF#,0.5
1,1,1,16,2,2,1,FCF#,0.5
1,1,1,17,1,1,1,GG#A,1.0
1,1,1,18,2,2,1,CC#D,0.75
1,1,1,19,2,2,1,GG#A,1.0
1,1,1,20,2,1,0,GG#A,1.0
1,1,1,21,1,1,1,DFE,0.4259581881533101
1,1,1,22,2,1,0,CC#D,0.75
1,1,1,23,2,2,1,FCF#,0.5
1,1,1,24,1,2,0,ADB,0.43099109562524196
1,1,1,25,2,2,1,D#ED,0.75
1,1,1,26,1,1,1,GG#A,1.0
1,1,1,27,1,1,1,D#ED,0.75
1,1,1,28,2,1,0,ADB,0.43099109562524196
1,1,1,29,1,1,1,ADB,0.43099109562524196
1,1,1,30,1,1,1,DFE,0.4259581881533101
1,1,1,31,1,2,0,DFE,0.4259581881533101
1,1,1,32,2,2,1,CC#D,0.75
1,1,1,33,2,2,1,CC#D,0.75
1,1,1,34,1,1,1,CC#D,0.75
1,1,1,35,1,1,1,GG#A,1.0
1,1,1,36,2,2,1,DFE,0.4259581881533101
2,1,1,1,1,1,1,FCF#,0.5
2,1,1,2,2,2,1,D#ED,0.75
2,1,1,3,1,1,1,ADB,0.43099109562524196
2,1,1,4,2,2,1,ADB,0.43099109562524196
2,1,1,5,1,1,1,ADB,0.43099109562524196
2,1,1,6,2,2,1,DFE,0.4259581881533101
2,1,1,7,2,2,1,CC#D,0.75
2,1,1,8,1,1,1,DFE,0.4259581881533101
2,1,1,9,1,2,0,D#ED,0.75
2,1,1,10,1,1,1,FCF#,0.5
2,1,1,11,2,2,1,D#ED,0.75
2,1,1,12,1,1,1,FCF#,0.5
2,1,1,13,2,2,1,D#ED,0.75
2,1,1,14,1,1,1,GG#A,1.0
2,1,1,15,2,2,1,FCF#,0.5
2,1,1,16,2,2,1,FCF#,0.5
2,1,1,17,1,1,1,GG#A,1.0
2,1,1,18,2,2,1,CC#D,0.75
2,1,1,19,1,2,0,GG#A,1.0
2,1,1,20,1,1,1,GG#A,1.0
2,1,1,21,1,1,1,DFE,0.4259581881533101
2,1,1,22,1,1,1,CC#D,0.75
2,1,1,23,2,2,1,FCF#,0.5
2,1,1,24,2,2,1,ADB,0.43099109562524196
2,1,1,25,2,2,1,D#ED,0.75
2,1,1,26,1,1,1,GG#A,1.0
2,1,1,27,1,1,1,D#ED,0.75
2,1,1,28,1,1,1,ADB,0.43099109562524196
2,1,1,29,1,1,1,ADB,0.43099109562524196
2,1,1,30,1,1,1,DFE,0.4259581881533101
2,1,1,31,2,2,1,DFE,0.4259581881533101
2,1,1,32,2,2,1,CC#D,0.75
2,1,1,33,2,2,1,CC#D,0.75
2,1,1,34,1,1,1,CC#D,0.75
2,1,1,35,1,1,1,GG#A,1.0
2,1,1,36,2,2,1,DFE,0.4259581881533101
3,1,2,1,2,2,1,ADB,0.43099109562524196
3,1,2,2,1,1,1,CC#D,0.75
3,1,2,3,1,1,1,GG#A,1.0
3,1,2,4,2,1,0,GG#A,1.0
3,1,2,5,2,2,1,FCF#,0.5
3,1,2,6,2,2,1,CC#D,0.75
3,1,2,7,2,2,1,FCF#,0.5
3,1,2,8,2,2,1,GG#A,1.0
3,1,2,9,1,2,0,DFE,0.4259581881533101
3,1,2,10,1,2,0,DFE,0.4259581881533101
3,1,2,11,2,2,1,CC#D,0.75
3,1,2,12,1,1,1,FCF#,0.5
3,1,2,13,1,2,0,DFE,0.4259581881533101
3,1,2,14,2,2,1,DFE,0.4259581881533101
3,1,2,15,1,1,1,ADB,0.43099109562524196
3,1,2,16,1,1,1,CC#D,0.75
3,1,2,17,1,2,0,DFE,0.4259581881533101
3,1,2,18,2,2,1,CC#D,0.75
3,1,2,19,1,1,1,D#ED,0.75
3,1,2,20,1,1,1,FCF#,0.5
3,1,2,21,1,1,1,ADB,0.43099109562524196
3,1,2,22,1,2,0,D#ED,0.75
3,1,2,23,2,2,1,ADB,0.43099109562524196
3,1,2,24,1,2,0,FCF#,0.5
3,1,2,25,2,2,1,GG#A,1.0
3,1,2,26,1,1,1,DFE,0.4259581881533101
3,1,2,27,2,1,0,ADB,0.43099109562524196
