participant,language,test,trial,answer
1,1,1,1,1
1,1,1,2,2
1,1,1,3,2
1,1,1,4,1
1,1,1,5,1
1,1,1,6,2
1,1,1,7,2
1,1,1,8,2
1,1,1,9,1
1,1,1,10,1
1,1,1,11,1
1,1,1,12,1
1,1,1,13,2
1,1,1,14,1
1,1,1,15,2
1,1,1,16,2
1,1,1,17,1
1,1,1,18,2
1,1,1,19,2
1,1,1,20,2
1,1,1,21,1
1,1,1,22,2
1,1,1,23,2
1,1,1,24,1
1,1,1,25,2
1,1,1,26,1
1,1,1,27,1
1,1,1,28,2
1,1,1,29,1
1,1,1,30,1
1,1,1,31,1
1,1,1,32,2
1,1,1,33,2
1,1,1,34,1
1,1,1,35,1
1,1,1,36,2
2,1,1,1,1
2,1,1,2,2
2,1,1,3,1
2,1,1,4,2
2,1,1,5,1
2,1,1,6,2
2,1,1,7,2
2,1,1,8,1
2,1,1,9,1
2,1,1,10,1
2,1,1,11,2
2,1,1,12,1
2,1,1,13,2
2,1,1,14,1
2,1,1,15,2
2,1,1,16,2
2,1,1,17,1
2,1,1,18,2
2,1,1,19,1
2,1,1,20,1
2,1,1,21,1
2,1,1,22,1
2,1,1,23,2
2,1,1,24,2
2,1,1,25,2
2,1,1,26,1
2,1,1,27,1
2,1,1,28,1
2,1,1,29,1
2,1,1,30,1
2,1,1,31,2
2,1,1,32,2
2,1,1,33,2
2,1,1,34,1
2,1,1,35,1
2,1,1,36,2
3,1,2,1,2
3,1,2,2,1
3,1,2,3,1
3,1,2,4,2
3,1,2,5,2
3,1,2,6,2
3,1,2,7,2
3,1,2,8,2
3,1,2,9,1
3,1,2,10,1
3,1,2,11,2
3,1,2,12,1
3,1,2,13,1
3,1,2,14,2
3,1,2,15,1
3,1,2,16,1
3,1,2,17,1
3,1,2,18,2
3,1,2,19,1
3,1,2,20,1
3,1,2,21,1
3,1,2,22,1
3,1,2,23,2
3,1,2,24,1
3,1,2,25,2
3,1,2,26,1
3,1,2,27,2
3,1,2,28,1
3,1,2,29,1
3,1,2,30,1
3,1,2,31,1
3,1,2,32,1
3,1,2,33,1
3,1,2,34,2
3,1,2,35,1
3,1,2,36,2
4,1,1,1,1
4,1,1,2,1
4,1,1,3,2
4,1,1,4,2
4,1,1,5,1
4,1,1,6,2
4,1,1,7,2
4,1,1,8,2
4,1,1,9,1
4,1,1,10,1
4,1,1,11,2
4,1,1,12,1
4,1,1,13,1
4,1,1,14,1
4,1,1,15,1
4,1,1,16,1
4,1,1,17,1
4,1,1,18,1
4,1,1,19,1
4,1,1,20,1
4,1,1,21,1
4,1,1,22,1
4,1,1,23,2
4,1,1,24,2
4,1,1,25,1
4,1,1,26,1
4,1,1,27,2
4,1,1,28,1
4,1,1,29,1
4,1,1,30,1
4,1,1,31,2
4,1,1,32,2
4,1,1,33,2
4,1,1,34,1
4,1,1,35,1
4,1,1,36,2
5,1,2,1,2
5,1,2,2,1
5,1,2,3,1
5,1,2,4,1
5,1,2,5,2
5,1,2,6,2
5,1,2,7,2
5,1,2,8,2
5,1,2,9,1
5,1,2,10,2
5,1,2,11,2
5,1,2,12,1
5,1,2,13,2
5,1,2,14,2
5,1,2,15,1
5,1,2,16,1
5,1,2,17,2
5,1,2,18,2
5,1,2,19,2
5,1,2,20,1
5,1,2,21,1
5,1,2,22,1
5,1,2,23,2
5,1,2,24,1
5,1,2,25,1
5,1,2,26,1
5,1,2,27,1
5,1,2,28,1
5,1,2,29,1
5,1,2,30,1
5,1,2,31,1
5,1,2,32,1
5,1,2,33,1
5,1,2,34,2
5,1,2,35,1
5,1,2,36,1
6,2,1,1,2
6,2,1,2,1
6,2,1,3,1
6,2,1,4,2
6,2,1,5,1
6,2,1,6,1
6,2,1,7,2
6,2,1,8,1
6,2,1,9,1
6,2,1,10,2
6,2,1,11,1
6,2,1,12,2
6,2,1,13,1
6,2,1,14,2
6,2,1,15,1
6,2,1,16,1
6,2,1,17,2
6,2,1,18,1
6,2,1,19,1
6,2,1,20,1
6,2,1,21,2
6,2,1,22,2
6,2,1,23,1
6,2,1,24,2
6,2,1,25,1
6,2,1,26,2
6,2,1,27,2
6,2,1,28,2
6,2,1,29,2
6,2,1,30,1
6,2,1,31,2
6,2,1,32,2
6,2,1,33,1
6,2,1,34,1
6,2,1,35,2
6,2,1,36,1
7,2,2,1,1
7,2,2,2,2
7,2,2,3,2
7,2,2,4,2
7,2,2,5,1
7,2,2,6,1
7,2,2,7,1
7,2,2,8,2
7,2,2,9,1
7,2,2,10,1
7,2,2,11,2
7,2,2,12,1
7,2,2,13,2
7,2,2,14,1
7,2,2,15,2
7,2,2,16,2
7,2,2,17,1
7,2,2,18,1
7,2,2,19,2
7,2,2,20,2
7,2,2,21,2
7,2,2,22,1
7,2,2,23,1
7,2,2,24,1
7,2,2,25,1
7,2,2,26,2
7,2,2,27,1
7,2,2,28,2
7,2,2,29,2
7,2,2,30,2
7,2,2,31,1
7,2,2,32,2
7,2,2,33,2
