participant,language,test,trial,answer
A,2,1,1,1
A,2,1,2,2
A,2,1,3,1
A,2,1,4,1
A,2,1,5,2
A,2,1,6,1
A,2,1,7,1
A,2,1,8,2
A,2,1,9,2
A,2,1,10,1
A,2,1,11,1
A,2,1,12,2
A,2,1,13,2
A,2,1,14,1
A,2,1,15,1
A,2,1,16,2
A,2,1,17,2
A,2,1,18,1
A,2,1,19,1
A,2,1,20,1
A,2,1,21,1
A,2,1,22,2
A,2,1,23,1
A,2,1,24,1
A,2,1,25,1
A,2,1,26,1
A,2,1,27,1
A,2,1,28,2
A,2,1,29,2
A,2,1,30,2
A,2,1,31,2
A,2,1,32,1
A,2,1,33,1
A,2,1,34,2
A,2,1,35,1
A,2,1,36,1
B,1,1,1,2
B,1,1,2,1
B,1,1,3,2
B,1,1,4,2
B,1,1,5,2
B,1,1,6,1
B,1,1,7,2
B,1,1,8,2
B,1,1,9,1
B,1,1,10,2
B,1,1,11,2
B,1,1,12,1
B,1,1,13,1
B,1,1,14,2
B,1,1,15,2
B,1,1,16,1
B,1,1,17,1
B,1,1,18,2
B,1,1,19,2
B,1,1,20,1
B,1,1,21,2
B,1,1,22,1
B,1,1,23,2
B,1,1,24,1
B,1,1,25,1
B,1,1,26,2
B,1,1,27,1
B,1,1,28,1
B,1,1,29,2
B,1,1,30,1
B,1,1,31,1
B,1,1,32,2
B,1,1,33,1
B,1,1,34,1
B,1,1,35,2
B,1,1,36,1
C,1,1,1,2
C,1,1,2,1
C,1,1,3,2
C,1,1,4,2
C,1,1,5,2
C,1,1,6,1
C,1,1,7,2
C,1,1,8,1
C,1,1,9,1
C,1,1,10,2
C,1,1,11,1
C,1,1,12,1
C,1,1,13,1
C,1,1,14,1
C,1,1,15,2
C,1,1,16,1
C,1,1,17,1
C,1,1,18,2
C,1,1,19,2
C,1,1,20,1
C,1,1,21,1
C,1,1,22,1
C,1,1,23,2
C,1,1,24,2
C,1,1,25,2
C,1,1,26,2
C,1,1,27,2
C,1,1,28,1
C,1,1,29,2
C,1,1,30,1
C,1,1,31,1
C,1,1,32,2
C,1,1,33,1
C,1,1,34,1
C,1,1,35,1
C,1,1,36,1
D,1,2,1,2
D,1,2,2,2
D,1,2,3,1
D,1,2,4,2
D,1,2,5,1
D,1,2,6,2
D,1,2,7,2
D,1,2,8,2
D,1,2,9,1
D,1,2,10,1
D,1,2,11,1
D,1,2,12,1
D,1,2,13,2
D,1,2,14,2
D,1,2,15,1
D,1,2,16,2
D,1,2,17,2
D,1,2,18,2
D,1,2,19,1
D,1,2,20,2
D,1,2,21,1
D,1,2,22,2
D,1,2,23,1
D,1,2,24,2
D,1,2,25,2
D,1,2,26,2
D,1,2,27,2
D,1,2,28,2
D,1,2,29,1
D,1,2,30,1
D,1,2,31,2
D,1,2,32,1
D,1,2,33,1
D,1,2,34,2
D,1,2,35,1
D,1,2,36,2
E,2,2,1,1
E,2,2,2,2
E,2,2,3,2
E,2,2,4,1
E,2,2,5,1
E,2,2,6,1
E,2,2,7,1
E,2,2,8,1
E,2,2,9,1
E,2,2,10,1
E,2,2,11,1
E,2,2,12,1
E,2,2,13,1
E,2,2,14,1
E,2,2,15,2
E,2,2,16,1
E,2,2,17,1
E,2,2,18,2
E,2,2,19,2
E,2,2,20,1
E,2,2,21,1
E,2,2,22,1
E,2,2,23,1
E,2,2,24,1
E,2,2,25,1
E,2,2,26,1
E,2,2,27,1
E,2,2,28,1
E,2,2,29,2
E,2,2,30,1
E,2,2,31,1
E,2,2,32,2
E,2,2,33,2
E,2,2,34,2
E,2,2,35,1
E,2,2,36,1
F,2,2,1,2
F,2,2,2,2
F,2,2,3,1
F,2,2,4,1
F,2,2,5,2
F,2,2,6,2
F,2,2,7,1
F,2,2,8,2
F,2,2,9,1
F,2,2,10,2
F,2,2,11,1
F,2,2,12,2
F,2,2,13,1
F,2,2,14,1
F,2,2,15,1
F,2,2,16,2
F,2,2,17,1
F,2,2,18,1
F,2,2,19,1
F,2,2,20,1
F,2,2,21,1
F,2,2,22,1
F,2,2,23,1
F,2,2,24,2
F,2,2,25,2
F,2,2,26,2
F,2,2,27,1
F,2,2,28,2
F,2,2,29,2
F,2,2,30,1
F,2,2,31,2
F,2,2,32,1
F,2,2,33,1
F,2,2,34,1
F,2,2,35,1
F,2,2,36,2
